id,game,start_date,end_date,price,publisher,year,real_value,original_release_date,aggregated_rating,next_sequel_date,next_sequel_name,hype_delta_days,is_strategic_hype
116,Ark: Survival Evolved,11/06/2020,18/06/2020,14.99,Studio Wildcard,2020,19.037300000000002,2017-08-27,68.875,N/A,Standalone,,False
117,Samurai Shodown NeoGeo Collection,11/06/2020,18/06/2020,39.99,Snk Corporation,2020,50.7873,2020-06-18,80.0,2020-06-18,Samurai Shodown NeoGeo Collection,7.0,True
118,Pathway,18/06/2020,25/06/2020,15.99,Chucklefish,2020,20.3073,2019-11-4,74.0,N/A,Standalone,,False
119,AER: Memories of Old,25/06/2020,02/07/2020,14.99,Daedalic Entertainment,2020,19.037300000000002,2017-10-25,68.0,N/A,Standalone,,False
120,Stranger Things 3: The Game,25/06/2020,02/07/2020,0.0,Netflix Games,2020,0.0,2019-07-04,61.25,N/A,Standalone,,False
121,Hue,02/07/2020,09/07/2020,14.99,Curve Games,2020,19.037300000000002,2016-08-30,77.875,N/A,Standalone,,False
122,Killing Floor 2,09/07/2020,16/07/2020,29.99,Tripwire Interactive,2020,38.0873,2016-11-18,80.76923076923077,2025-07-24,Q121766481,1841.0,False
123,Lifeless Planet: Premier Edition,09/07/2020,16/07/2020,9.99,Serenity Forge,2020,12.6873,2015-05-13,64.75,N/A,Standalone,,False
124,The Escapists 2,09/07/2020,16/07/2020,19.99,Team17 Digital Ltd,2020,25.3873,2017-08-22,75.44444444444444,N/A,Standalone,,False
125,Torchlight II,16/07/2020,23/07/2020,19.99,Xd,2020,25.3873,2012-09-20,85.61538461538461,N/A,Standalone,,False
126,Next Up Hero,23/07/2020,30/07/2020,19.99,Digital Continue,2020,25.3873,2018-06-28,74.0,N/A,Standalone,,False
127,Tacoma,23/07/2020,30/07/2020,19.99,Fullbright,2020,25.3873,2017-08-02,78.1875,N/A,Standalone,,False
128,20XX,30/07/2020,06/08/2020,14.99,Batterystaple Games,2020,19.037300000000002,2017-08-16,75.33333333333333,N/A,Standalone,,False
129,Barony,30/07/2020,06/08/2020,19.99,Turning Wheel Llc,2020,25.3873,2015-06-23,72.0,N/A,Standalone,,False
130,Superbrothers: Sword & Sworcery EP,30/07/2020,06/08/2020,7.99,Capybara Games,2020,10.1473,2011-03-24,77.0,N/A,Standalone,,False
131,3 out of 10: Season One,06/08/2020,13/08/2020,0.0,Terrible Posture Games,2020,0.0,2020-09-03,80.0,2020-08-13,"3 out of 10, EP 2: ""Foundation 101""",7.0,True
132,Wilmot's Warehouse,06/08/2020,13/08/2020,14.99,Finji,2020,19.037300000000002,2019-08-28,85.0,N/A,Standalone,,False
133,Remnant: From the Ashes,13/08/2020,20/08/2020,39.99,Arc Games,2020,50.7873,2019-08-20,76.35714285714286,N/A,Standalone,,False
134,The Alto Collection,13/08/2020,20/08/2020,9.99,Snowman,2020,12.6873,2020-08-13,80.0,N/A,Standalone,,False
135,Enter the Gungeon,20/08/2020,27/08/2020,14.99,Devolver Digital,2020,19.037300000000002,2016-04-05,82.46153846153847,N/A,No Future Sequel Found,,False
136,God's Trigger,20/08/2020,27/08/2020,14.99,Techland Publishing,2020,19.037300000000002,2019-04-18,90.0,N/A,Standalone,,False
137,Hitman (2016),27/08/2020,03/09/2020,29.99,Square Enix,2020,38.0873,2016-03-11,79.0,N/A,Standalone,,False
138,Shadowrun Collection,27/08/2020,03/09/2020,39.99,Paradox Interactive,2020,50.7873,2020-08-27,76.0,N/A,Standalone,,False
139,Into the Breach,03/09/2020,10/09/2020,14.99,Subset Games,2020,19.037300000000002,2018-02-27,90.0,N/A,Standalone,,False
140,Railway Empire,10/09/2020,17/09/2020,29.99,Kalypso Media,2020,38.0873,2018-01-26,85.0,2023-05-25,Railway Empire 2,987.0,False
141,Where the Water Tastes Like Wine,10/09/2020,17/09/2020,19.99,Good Shepherd Entertainment,2020,25.3873,2018-02-28,70.33333333333333,N/A,Standalone,,False
142,A Total War Saga: Troy,13/09/2020,13/09/2020,49.99,Sega,2020,63.487300000000005,2020-08-13,76.25,N/A,Standalone,,False
143,Football Manager 2020,17/09/2020,24/09/2020,5.49,Sega,2020,6.972300000000001,2019-11-19,88.5,2020-11-24,Football Manager 2021,68.0,True
144,Stick It To The Man!,17/09/2020,24/09/2020,7.99,Ripstone,2020,10.1473,2013-11-19,78.25,N/A,Standalone,,False
145,Watch Dogs 2,17/09/2020,24/09/2020,49.99,Ubisoft,2020,63.487300000000005,2016-11-15,81.33333333333333,2020-10-29,Watch Dogs: Legion,42.0,True
146,RollerCoaster Tycoon 3: Complete Edition,24/09/2020,01/10/2020,19.99,Frontier Developments,2020,25.3873,2020-09-24,80.0,N/A,Standalone,,False
147,Pikuniku,01/10/2020,08/10/2020,12.99,Devolver Digital,2020,16.4973,2019-01-24,74.8,N/A,Standalone,,False
148,ABZU,08/10/2020,15/10/2020,19.99,505 Games,2020,25.3873,2016-08-02,80.85185185185185,N/A,Standalone,,False
149,Rising Storm 2: Vietnam,08/10/2020,15/10/2020,24.99,Tripwire Interactive,2020,31.737299999999998,2017-05-30,72.5,N/A,Standalone,,False
150,Amnesia: A Machine for Pigs,15/10/2020,22/10/2020,19.99,Frictional Games,2020,25.3873,2013-09-10,72.625,2020-10-20,Amnesia: Rebirth,5.0,True
151,Kingdom New Lands,15/10/2020,22/10/2020,14.99,Raw Fury,2020,19.037300000000002,2016-08-09,75.0,N/A,Standalone,,False
152,Costume Quest 2,22/10/2020,29/10/2020,14.99,Midnight City,2020,19.037300000000002,2014-10-07,65.0,N/A,Standalone,,False
153,Layers of Fear 2,22/10/2020,29/10/2020,19.99,Bloober Team,2020,25.3873,2019-05-28,63.81818181818182,N/A,Standalone,,False
154,Blair Witch,29/10/2020,05/11/2020,29.99,Bloober Team,2020,38.0873,2019-08-30,72.0909090909091,N/A,Standalone,,False
155,Ghostbusters: The Video Game Remastered,29/10/2020,05/11/2020,24.99,"Mad Dog Games, Llc",2020,31.737299999999998,2019-10-03,60.0,N/A,Standalone,,False
156,Dungeons 3,05/11/2020,12/11/2020,29.99,Kalypso Media,2020,38.0873,2017-10-13,74.0,N/A,Standalone,,False
157,The Textorcist: The Story of Ray Bibbia,12/11/2020,19/11/2020,14.99,Headup,2020,19.037300000000002,2019-02-14,82.5,N/A,Standalone,,False
158,Elite Dangerous,19/11/2020,26/11/2020,19.99,Frontier Developments,2020,25.3873,2014-12-16,81.95238095238095,N/A,No Future Sequel Found,,False
159,The World Next Door,19/11/2020,26/11/2020,4.99,Viz Media,2020,6.3373,2019-03-28,64.2,N/A,Standalone,,False
160,MudRunner,26/11/2020,03/12/2020,19.99,Focus Entertainment,2020,25.3873,2017-10-31,70.0,N/A,Standalone,,False
161,Cave Story+,03/12/2020,10/12/2020,14.99,"Nicalis, Inc.",2020,19.037300000000002,2011-11-22,81.0,N/A,Standalone,,False
162,Pillars of Eternity: Definitive Edition,10/12/2020,17/12/2020,39.99,Paradox Interactive,2020,50.7873,2017-11-15,79.0,N/A,Standalone,,False
163,Tyranny: Gold Edition,10/12/2020,17/12/2020,49.99,Paradox Interactive,2020,63.487300000000005,2018-11-08,81.0,N/A,Standalone,,False
164,Cities: Skylines,17/12/2020,18/12/2020,29.99,Paradox Interactive,2020,38.0873,2015-03-10,76.23076923076923,2022-04-28,Cities: VR,497.0,False
165,Oddworld: New 'n' Tasty,18/12/2020,19/12/2020,19.99,"Oddworld Inhabitants, Inc.",2020,25.3873,2014-07-22,75.83333333333333,N/A,Standalone,,False
166,The Long Dark,19/12/2020,20/12/2020,19.99,Hinterland Studio Inc.,2020,25.3873,2017-08-01,82.0,N/A,Standalone,,False
167,Defense Grid: The Awakening,20/12/2020,21/12/2020,9.99,Hidden Path Entertainment,2020,12.6873,2008-12-08,86.0,N/A,No Future Sequel Found,,False
168,Alien: Isolation,21/12/2020,22/12/2020,39.99,Sega,2020,50.7873,2014-10-06,85.63157894736842,N/A,Standalone,,False
169,Metro 2033 Redux,22/12/2020,23/12/2020,19.99,Deep Silver,2020,25.3873,2014-08-26,80.0,N/A,Standalone,,False
170,Tropico 5,23/12/2020,24/12/2020,19.99,Kalypso Media,2020,25.3873,2014-05-23,72.35714285714286,N/A,Standalone,,False
171,Inside,24/12/2020,25/12/2020,24.99,Playdead,2020,31.737299999999998,2016-06-29,92.0,N/A,Standalone,,False
172,Darkest Dungeon,25/12/2020,26/12/2020,24.99,Red Hook Studios,2020,31.737299999999998,2016-01-19,83.1,2023-05-08,Darkest Dungeon II,864.0,False
