id,game,start_date,end_date,price,publisher,original_release_date,aggregated_rating,real_value,next_sequel_date,next_sequel_name,year,hype_delta_days,is_strategic_hype
136,Stick It To The Man!,17/09/2020,24/09/2020,7.99,Ripstone,2013-11-19,78.25,10.1473,N/A,Standalone,2020,,False
137,Watch Dogs 2,17/09/2020,24/09/2020,49.99,Ubisoft,15/11/2016,81.33333333,63.487300000000005,29/10/2020,Watch Dogs: Legion,2020,,False
138,RollerCoaster Tycoon 3: Complete Edition,24/09/2020,01/10/2020,19.99,Frontier Developments,2020-09-24,80.0,25.3873,N/A,Standalone,2020,,False
139,Pikuniku,01/10/2020,08/10/2020,12.99,Devolver Digital,2019-01-24,74.8,16.4973,N/A,Standalone,2020,,False
140,ABZU,08/10/2020,15/10/2020,19.99,505 Games,2016-08-02,80.85185185185185,25.3873,N/A,Standalone,2020,,False
141,Rising Storm 2: Vietnam,08/10/2020,15/10/2020,24.99,Tripwire Interactive,2017-05-30,72.5,31.737299999999998,N/A,Standalone,2020,,False
142,Amnesia: A Machine for Pigs,15/10/2020,22/10/2020,19.99,Frictional Games,10/09/2013,72.625,25.3873,20/10/2020,Amnesia: Rebirth,2020,,False
143,Kingdom New Lands,15/10/2020,22/10/2020,14.99,Raw Fury,2016-08-09,75.0,19.037300000000002,N/A,Standalone,2020,,False
144,Costume Quest 2,22/10/2020,29/10/2020,14.99,Midnight City,2014-10-07,65.0,19.037300000000002,N/A,Standalone,2020,,False
145,Layers of Fear 2,22/10/2020,29/10/2020,19.99,Bloober Team,2019-05-28,63.81818181818182,25.3873,N/A,Standalone,2020,,False
146,Blair Witch,29/10/2020,05/11/2020,29.99,Bloober Team,2019-08-30,72.0909090909091,38.0873,N/A,Standalone,2020,,False
147,Ghostbusters: The Video Game Remastered,29/10/2020,05/11/2020,24.99,"Mad Dog Games, Llc",2019-10-03,60.0,31.737299999999998,N/A,Standalone,2020,,False
148,Dungeons 3,05/11/2020,12/11/2020,29.99,Kalypso Media,2017-10-13,74.0,38.0873,N/A,Standalone,2020,,False
149,The Textorcist: The Story of Ray Bibbia,12/11/2020,19/11/2020,14.99,Headup,2019-02-14,82.5,19.037300000000002,N/A,Standalone,2020,,False
150,Elite Dangerous,19/11/2020,26/11/2020,19.99,Frontier Developments,2014-12-16,81.95238095238095,25.3873,N/A,No Future Sequel Found,2020,,False
