ï»¿id,game,start_date,end_date,price,seller,year,real_value,id
235,Stubbs the Zombie in Rebel Without a Pulse,2021-10-14,21/10/2021,19.99,Aspyr,2021,24.3878,0
236,Among the Sleep: Enhanced Edition,2021-10-21,28/10/2021,16.99,Krillbite Studio,2021,20.7278,0
237,DARQ,2021-10-28,04/11/2021,19.99,Unfold Games,2021,24.3878,0
238,Aven Colony,2021-11-04,11/11/2021,29.99,Team17 Digital Ltd,2021,36.587799999999994,0
239,Rogue Company Season 4 Epic Pack (DLC),2021-11-11,18/11/2021,0.0,Unknown Publisher,2021,0.0,0
240,Tiny Tinaâ€™s Assault on Dragon Keep: A Wonderlands One-Shot Adventure,2021-11-11,18/11/2021,9.99,2K,2021,12.1878,0
241,Guild of Dungeoneering,2021-11-18,25/11/2021,7.99,Gambrinous,2021,9.7478,0
242,KID A MNESIA EXHIBITION,2021-11-18,25/11/2021,0.0,Unknown Publisher,2021,0.0,0
243,Never Alone (Kisima Ingitchuna),2021-11-18,25/11/2021,14.99,E-Line Media,2021,18.2878,0
244,Antstream,2021-11-25,02/12/2021,39.99,Antstream Ltd,2021,48.787800000000004,0
245,theHunter: Call of the Wild,2021-11-25,02/12/2021,19.99,Unknown Publisher,2021,24.3878,0
246,Dead by Daylight,2021-12-02,09/12/2021,19.99,Behaviour Interactive Inc.,2021,24.3878,0
247,while True: learn(),2021-12-02,09/12/2021,12.99,Luden.Io,2021,15.8478,0
248,Godfall: Challenger Edition,2021-12-09,16/12/2021,24.99,Unknown Publisher,2021,30.487799999999996,0
249,Prison Architect,2021-12-09,16/12/2021,29.99,Paradox Interactive,2021,36.587799999999994,0
250,Shenmue III,2021-12-16,17/12/2021,29.99,Inin,2021,36.587799999999994,0
251,Neon Abyss,2021-12-17,18/12/2021,19.99,Team17,2021,24.3878,0
252,Remnant: From the Ashes,2021-12-18,19/12/2021,39.99,Arc Games,2021,48.787800000000004,0
253,The Vanishing of Ethan Carter,2021-12-19,20/12/2021,19.99,The Astronauts,2021,24.3878,0
254,Loop Hero,2021-12-20,21/12/2021,14.99,Devolver Digital,2021,18.2878,0
255,Second Extinction,2021-12-21,22/12/2021,0.0,Unknown Publisher,2021,0.0,0
256,Mutant Year Zero: Road to Eden,2021-12-22,23/12/2021,34.99,Funcom,2021,42.6878,0
257,Vampyr,2021-12-23,24/12/2021,39.99,Focus Entertainment,2021,48.787800000000004,0
258,Pathfinder: Kingmaker - Enhanced Plus Edition,2021-12-24,25/12/2021,19.99,Knights Peak,2021,24.3878,0
259,Prey,2021-12-25,26/12/2021,29.99,Bethesda Softworks,2021,36.587799999999994,0
260,Control,2021-12-26,27/12/2021,4.99,Valve,2021,6.0878000000000005,0
261,Mages of Mystralia,2021-12-27,28/12/2021,19.99,Borealys Games,2021,24.3878,0
262,Moving Out,2021-12-28,29/12/2021,24.99,Team17,2021,30.487799999999996,0
263,Salt and Sanctuary,2021-12-29,30/12/2021,17.99,Ska Studios,2021,21.947799999999997,0
264,"Tomb Raider Trilogy (Tomb Raider GOTY, Rise of the Tomb Raider, Shadow of the Tomb Raider)",2021-12-30,06/01/2022,0.0,Unknown Publisher,2021,0.0,0
265,Tomb Raider GOTY,2021-12-30,06/01/2022,19.8,Unknown Publisher,2021,24.156,0
266,Rise of the Tomb Raider,2021-12-30,06/01/2022,29.99,Crystal Dynamics,2021,36.587799999999994,0
267,Shadow of the Tomb Raider,2021-12-30,06/01/2022,59.99,Crystal Dynamics,2021,73.1878,0
268,Gods Will Fall,2022-01-06,13/01/2022,14.99,Deep Silver,2022,16.788800000000002,0
269,Galactic Civilizations III,2022-01-13,20/01/2022,29.99,Stardock Entertainment,2022,33.5888,0
270,Relicta,2022-01-20,27/01/2022,19.99,Ravenscourt,2022,22.3888,0
271,Daemon X Machina,2022-01-27,03/02/2022,49.99,Xseed Games,2022,55.988800000000005,0
272,Yooka-Laylee and the Impossible Lair,2022-02-03,10/02/2022,29.99,Team17 Digital Ltd,2022,33.5888,0
273,Windbound,2022-02-10,17/02/2022,29.99,Deep Silver,2022,33.5888,0
274,Brothers: A Tale of Two Sons,2022-02-17,24/02/2022,14.99,505 Games,2022,16.788800000000002,0
